asset,market,year,month,block,hours_block,rated_mw,forward_hub,avg_generation_MW,predicted_price,predicted_revenue,P50,P75
Mantero,MISO,2026,11,Peak,336,71.4,45.37,20.788189484126985,34.30594830138865,239621.27405056905,238886.91929692696,215412.6990507116
Mantero,MISO,2026,11,OffPeak,384,71.4,36.62,20.355340277777778,23.906573414594327,186864.55170422143,187412.36479827456,168522.2476976502
Mantero,MISO,2026,12,Peak,368,71.4,51.64,23.389171626984133,39.1242871835704,336751.1577209393,337912.15426081547,302512.33875248604
Mantero,MISO,2026,12,OffPeak,376,71.4,41.75,21.81695800961894,29.84535433392073,244826.70069929055,244739.980594124,221968.6238068993
Mantero,MISO,2027,1,Peak,336,71.4,83.9,17.857431457431456,44.23871799880302,265436.5978078968,266616.02349476196,237208.84078576308
Mantero,MISO,2027,1,OffPeak,408,71.4,71.66,17.770774976657332,32.52446561192967,235817.86352725775,234815.55504217104,212804.8562486593
Mantero,MISO,2027,2,Peak,320,71.4,79.46,26.79023313492063,31.04404826865257,266136.7329820581,267738.4342705654,239901.36962649855
Mantero,MISO,2027,2,OffPeak,352,71.4,67.44,24.380378787878787,24.605135385381406,211158.64732956875,211954.35299254424,191869.61984069977
Mantero,MISO,2027,3,Peak,368,71.4,46.26,23.398632677708765,28.802582082752206,248010.3021031859,249298.2793164127,222942.23617550408
Mantero,MISO,2027,3,OffPeak,376,71.4,35.8,25.841988249200387,23.833403442760172,231579.35192155393,231553.99698228168,209211.32066126296
Mantero,MISO,2027,4,Peak,352,71.4,44.53,14.665607413419915,33.253374066006096,171663.68708672287,172182.7577570582,156336.76587473575
Mantero,MISO,2027,4,OffPeak,368,71.4,32.47,13.335260114734298,24.882327122501174,122106.92803335378,123202.8543604431,109756.5091803247
Mantero,MISO,2027,5,Peak,336,71.4,45.63,21.474260461760462,39.31232737790401,283652.2609102921,282619.51918155083,254657.27896822532
Mantero,MISO,2027,5,OffPeak,408,71.4,38.31,22.408723489395758,24.850375917553457,227201.00263794986,229413.47836393438,205407.4940278466
Mantero,MISO,2027,6,Peak,352,71.4,51.39,19.648143939393936,46.354501234709076,320594.529199429,320385.61548810126,288865.59661252366
Mantero,MISO,2027,6,OffPeak,368,71.4,44.21,23.190336956521737,24.84764767957526,212050.91859399315,212234.28879501694,189308.8245531753
Mantero,MISO,2027,7,Peak,352,71.4,77.52,14.046534090909091,54.0642212216651,267314.0541239765,269064.45109154296,240932.82735416738
Mantero,MISO,2027,7,OffPeak,392,71.4,58.43,20.908227441920165,31.387133024670455,257249.7318836085,254954.44027835748,229565.87776370032
Mantero,MISO,2027,8,Peak,352,71.4,104.08,15.834547924901187,55.823322177641984,311145.8487628731,311826.16396278597,281112.880739392
Mantero,MISO,2027,8,OffPeak,392,71.4,60.8,20.628111883051094,31.385866149425205,253793.0141229092,253986.41963558196,228194.78653846565
Mantero,MISO,2027,9,Peak,352,71.4,56.94,17.808492063492064,45.91146812067307,287800.1335088969,289344.3262414958,262480.6162733526
Mantero,MISO,2027,9,OffPeak,368,71.4,45.66,14.877815972222223,29.845386199229093,163404.57216506754,162416.49959322624,144726.2589861202
Mantero,MISO,2027,10,Peak,336,71.4,44.31,21.35827510351967,38.236892880639324,274402.4899554985,272471.8830751113,248124.70186160126
Mantero,MISO,2027,10,OffPeak,408,71.4,35.09,18.973457964746185,25.53843332538776,197697.37560336487,197296.9639188069,177275.86999712005
