asset,market,year,month,block,hours_block,rated_mw,forward_hub,avg_generation_MW,predicted_price,predicted_revenue,P50,P75
Howling Gale,CAISO,2026,1,Peak,352,100.0,66.38,37.271115384615385,87.34134266700735,1145868.8596570203,1140571.340275985,1034882.8124472526
Howling Gale,CAISO,2026,1,OffPeak,392,100.0,59.84,10.156842030629608,82.95770665964035,330294.6221319885,329305.64607710834,294665.9368437918
Howling Gale,CAISO,2026,2,Peak,320,100.0,66.38,48.795920138888896,46.82576695661808,731170.0431543547,730582.1930313229,663916.9189777779
Howling Gale,CAISO,2026,2,OffPeak,352,100.0,59.84,10.437446821821823,50.14634952074715,184236.7494638136,185527.48647538223,165949.1050762348
Howling Gale,CAISO,2026,3,Peak,352,100.0,47.9,54.644527540360876,37.774367945105475,726585.1963026064,724752.5957461956,653617.991381202
Howling Gale,CAISO,2026,3,OffPeak,392,100.0,37.77,11.008962571822835,46.82573743981081,202077.0940221691,201349.5386956174,183262.32586164883
Howling Gale,CAISO,2026,4,Peak,352,100.0,47.59,63.917112179487184,33.2533043093586,748160.2240217242,744074.9727263001,669317.7179258286
Howling Gale,CAISO,2026,4,OffPeak,368,100.0,36.67,14.49873355263158,46.82569171280536,249840.06774268116,251551.82516412198,224154.74141028017
Howling Gale,CAISO,2026,5,Peak,336,100.0,49.0,70.05059615384614,25.91069755752573,609860.0963840054,607942.7950925746,544030.917188179
Howling Gale,CAISO,2026,5,OffPeak,408,100.0,37.22,18.54545519001702,33.25309187982781,251611.03995784107,252363.56750345268,224248.93884093143
Howling Gale,CAISO,2026,6,Peak,352,100.0,52.13,72.90178525641026,39.12213185146207,1003929.7857629062,1006384.1001647429,913774.6871485192
Howling Gale,CAISO,2026,6,OffPeak,368,100.0,39.89,16.39139254385965,40.16325803075483,242266.07598585275,242069.72383940677,217990.26001439028
Howling Gale,CAISO,2026,7,Peak,368,100.0,79.1,71.14072115384614,70.88334367959565,1855710.7248757475,1856821.9284883337,1671120.744697028
Howling Gale,CAISO,2026,7,OffPeak,376,100.0,50.15,19.817505672149746,54.5570128998039,406525.15113662643,410884.2724445383,366348.74200309865
Howling Gale,CAISO,2026,8,Peak,336,100.0,112.37,65.95586419753086,80.56344622862042,1785380.2574966294,1801383.349929172,1619559.5801254513
Howling Gale,CAISO,2026,8,OffPeak,408,100.0,66.49,12.899145299145298,60.80957327429209,320031.7406675995,321212.47793195036,288192.6794681359
Howling Gale,CAISO,2026,9,Peak,352,100.0,60.22,58.828711805555564,69.31758552844599,1435408.2202626842,1437719.0464313393,1276592.0023939374
Howling Gale,CAISO,2026,9,OffPeak,368,100.0,42.0,15.588789682539682,57.101914843140996,327575.10467328585,326716.189270237,293501.7808234246
Howling Gale,CAISO,2026,10,Peak,352,100.0,44.56,50.89342355175688,51.69741752125687,926132.6153873526,928733.5660671755,829587.4760204229
Howling Gale,CAISO,2026,10,OffPeak,392,100.0,36.83,11.846258077965397,51.488721186322145,239099.88227681007,238574.1591377884,217316.4102940165
Howling Gale,CAISO,2026,11,Peak,336,100.0,45.37,40.63666666666666,54.557014437505224,744917.1105685412,746080.4985608645,674828.4063898224
Howling Gale,CAISO,2026,11,OffPeak,384,100.0,36.62,9.99595015576324,58.0879811268141,222967.51257313899,224420.16016349316,201927.433223844
Howling Gale,CAISO,2026,12,Peak,368,100.0,51.64,31.465448717948718,114.18489536198796,1322179.460730726,1310627.828771188,1181813.9542072688
Howling Gale,CAISO,2026,12,OffPeak,376,100.0,41.75,7.342912176214785,112.43687523142913,310430.9016723437,315837.3450770818,284077.2320566858
Howling Gale,CAISO,2027,1,Peak,336,100.0,83.9,37.271115384615385,87.34134266700735,1093783.911490792,1097479.671726075,986968.3870772085
Howling Gale,CAISO,2027,1,OffPeak,408,100.0,71.66,10.156842030629608,82.95770665964035,343776.03528023296,345807.04836258054,312036.8025267696
Howling Gale,CAISO,2027,2,Peak,320,100.0,79.46,48.795920138888896,46.82576695661808,731170.0431543547,730099.9620818474,659195.9061658252
Howling Gale,CAISO,2027,2,OffPeak,352,100.0,67.44,10.437446821821823,50.14634952074715,184236.7494638136,183221.222309358,166053.601385908
Howling Gale,CAISO,2027,3,Peak,368,100.0,46.26,54.644527540360876,37.774367945105475,759611.796134543,746579.7539102254,678981.0379659571
Howling Gale,CAISO,2027,3,OffPeak,376,100.0,35.8,11.008962571822835,46.82573743981081,193829.04936820304,193640.19940597092,173229.45711569127
Howling Gale,CAISO,2027,4,Peak,352,100.0,44.53,63.917112179487184,33.2533043093586,748160.2240217242,751305.3692822888,676242.6944687996
Howling Gale,CAISO,2027,4,OffPeak,368,100.0,32.47,14.49873355263158,46.82569171280536,249840.06774268116,250414.26494744775,224362.16125742087
Howling Gale,CAISO,2027,5,Peak,336,100.0,45.63,70.05059615384614,25.91069755752573,609860.0963840054,611899.6882274514,546128.9732567216
Howling Gale,CAISO,2027,5,OffPeak,408,100.0,38.31,18.54545519001702,33.25309187982781,251611.03995784107,252586.8799259147,226245.35508033037
Howling Gale,CAISO,2027,6,Peak,352,100.0,51.39,72.90178525641026,39.12213185146207,1003929.7857629062,1014369.9329567422,912847.0920372119
Howling Gale,CAISO,2027,6,OffPeak,368,100.0,44.21,16.39139254385965,40.16325803075483,242266.07598585275,241049.2328761624,218364.673406421
Howling Gale,CAISO,2027,7,Peak,352,100.0,77.52,71.14072115384614,70.88334367959565,1775027.6498811496,1775605.5650210537,1592124.0358989
Howling Gale,CAISO,2027,7,OffPeak,392,100.0,58.43,19.817505672149746,54.5570128998039,423824.09373818495,424072.80580000684,381024.79982465424
Howling Gale,CAISO,2027,8,Peak,352,100.0,104.08,65.95586419753086,80.56344622862042,1870398.3649964689,1866436.8429005586,1683840.905058243
Howling Gale,CAISO,2027,8,OffPeak,392,100.0,60.8,12.899145299145298,60.80957327429209,307481.4763276936,307999.0808181282,278871.0957542483
Howling Gale,CAISO,2027,9,Peak,352,100.0,56.94,58.828711805555564,69.31758552844599,1435408.2202626842,1437222.633467672,1288394.669527837
Howling Gale,CAISO,2027,9,OffPeak,368,100.0,45.66,15.588789682539682,57.101914843140996,327575.10467328585,326365.2425425709,294625.7746341296
Howling Gale,CAISO,2027,10,Peak,336,100.0,44.31,50.89342355175688,51.69741752125687,884035.6783242912,885439.9455047494,797423.4044186391
Howling Gale,CAISO,2027,10,OffPeak,408,100.0,35.09,11.846258077965397,51.488721186322145,248859.0611452513,247254.98807704472,223214.3126442781
Howling Gale,CAISO,2027,11,Peak,352,100.0,43.53,40.63666666666666,54.557014437505224,780389.3539289479,785414.0792041661,705180.3663344289
Howling Gale,CAISO,2027,11,OffPeak,368,100.0,32.74,9.99595015576324,58.0879811268141,213677.19954925822,213874.2750724282,191036.98175344113
Howling Gale,CAISO,2027,12,Peak,368,100.0,50.65,31.465448717948718,114.18489536198796,1322179.460730726,1315205.3049907493,1190144.053431689
Howling Gale,CAISO,2027,12,OffPeak,376,100.0,37.75,7.342912176214785,112.43687523142913,310430.9016723437,311923.8047171476,279266.76569984265
Howling Gale,CAISO,2028,1,Peak,336,100.0,83.84,37.271115384615385,87.34134266700735,1093783.911490792,1091300.7514993516,982364.9469744002
